article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,Sophia,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/n6pfz,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. There were two mentions to the data, but had the same URL."
intro02,Sophia,2020-04-02,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,no,Lead to a page whih said 'something went wrong',"There was a link to ""supplementary data"" at the journal's website. "
intro03,Sophia,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro04,Sophia,2020-04-02,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,Dryad,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
intro05,Sophia,2020-04-02,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Harvard Dataverse Network,yes,,yes,,"I had to click on a second link to get the specific data for this paper. There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data."
intro06,Sophia,2020-04-02,yes,,other,The statement refers to all 'coded' data,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro07,Sophia,2020-04-02,yes,,yes,,yes,,1,1,osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,other,"was able to download the data and programs files, but the raw data file was too big","There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
intro08,Sophia,2020-04-02,yes,,yes,,yes,,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,,National Archive of Computerized Data on Aging,yes,,other,the website offered different types of file download - I selected 'documentation only' option,the data was updated in the archive since use within the article. 
intro08,Sophia,2020-04-02,yes,,yes,,yes,,2,2,http://midus.colectica.org/,yes,,https://midus.colectica.org/Account/Login,other,needed a login - don't know,,other,needed a login - don't know,no,,needed a login
intro09,Sophia,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro10,Sophia,2020-04-02,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site cannot be reached' warning,http://pisa2006.acer.edu.au/downloads.php,no,,,no,,no,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
a000001,Sophia,2020-04-04,yes,,yes,,yes,,1,1,https://osf.io/d2jwb,yes,,https://osf.io/d2jwb,yes,,OSF,no,,no,,OSF page was empty
a000005,Sophia,2020-04-04,yes,,yes,,yes,,1,1,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,,OSF,yes,,yes,,I didn't have any problems with this article
