study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,link_url_cleaned,link_work,link_work_noother,resolved_url_cleaned
a000001,yes,NA,yes,NA,yes,NA,osf.io/d2jwb,yes,NA,osf.io/d2jwb
a000003,yes,NA,yes,NA,yes,NA,osf.io/myqn9,yes,NA,osf.io/myqn9
a000004,yes,NA,yes,NA,yes,NA,osf.io/4sqn3,yes,NA,osf.io/4sqn3
a000005,yes,NA,yes,NA,yes,NA,osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,NA,osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78
a000007,yes,NA,yes,NA,yes,NA,osf.io/wds5y,yes,NA,osf.io/wds5y
a000009,yes,NA,yes,NA,yes,NA,osf.io/x3ypv,yes,NA,osf.io/x3ypv
a000010,yes,NA,yes,NA,yes,NA,osf.io/6yhmp,yes,NA,osf.io/6yhmp
a000011,yes,NA,yes,NA,yes,NA,osf.io/x8rnq,yes,NA,osf.io/x8rnq
a000011,yes,NA,yes,NA,yes,NA,www.ukbiobank.ac.uk,other,"link works, but is to the generic homepage. More detail needed in order to find the actual data used.",www.ukbiobank.ac.uk
a000012,yes,NA,yes,NA,yes,NA,osf.io/njea2,yes,NA,osf.io/njea2
a000013,yes,NA,yes,NA,yes,NA,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc
a000015,yes,NA,yes,NA,yes,NA,osf.io/f3dh6,yes,NA,osf.io/f3dh6
a000016,yes,NA,yes,NA,yes,NA,osf.io/cp76s,yes,NA,osf.io/cp76s
a000017,yes,NA,yes,NA,yes,NA,osf.io/yw9us,yes,NA,osf.io/yw9us
a000018,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9
a000019,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/YVE8F,yes,NA,osf.io/yve8f
a000020,yes,NA,yes,NA,yes,NA,reshare.ukdataservice.ac.uk/852658,yes,NA,reshare.ukdataservice.ac.uk/852658
a000022,yes,NA,yes,NA,yes,NA,osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,yes,NA,osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None
a000023,yes,NA,yes,NA,yes,NA,osf.io/jbq9v,yes,NA,osf.io/jbq9v
a000024,yes,NA,yes,NA,yes,NA,osf.io/jrmk4,yes,NA,osf.io/jrmk4
a000024,yes,NA,yes,NA,yes,NA,osf.io/z68ku,yes,NA,osf.io/z68ku
